Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.63396,-74.014755,65 ST,0,1,0
40.743397,-73.9384,29 STREET,0,1,0
40.66845,-73.9212,Unknown,0,1,0
40.86132,-73.912346,Unknown,0,1,0
40.81197,-73.91428,Unknown,0,1,0
40.662014,-73.886826,HEGEMAN AVENUE,0,3,0
40.67597,-73.97519,Unknown,0,1,0
40.658478,-73.92818,EAST 53 STREET,0,1,0
40.877106,-73.90615,W 230 ST,0,1,0
40.827274,-73.904915,EAST 165 STREET,0,1,0
40.643497,-74.07418,Unknown,0,1,0
40.74468,-73.884605,Unknown,0,1,0
40.64757,-74.08743,WESTERVELT AVENUE,0,1,0
40.633152,-74.01639,Unknown,0,1,0
40.679276,-73.92906,UTICA AVENUE,0,2,0
40.711227,-73.72826,HEMPSTEAD AVENUE,0,3,0
40.827755,-73.9117,BROOK AVENUE,0,1,0
40.737194,-73.90619,BROOKLYN QUEENS EXPRESSWAY,0,1,0
40.807903,-73.92005,EAST 138 STREET,0,3,0
40.720833,-73.84661,Unknown,0,1,0
40.841152,-73.942696,Unknown,0,2,0
40.762054,-73.74458,RUSHMORE AVENUE,0,1,0
40.68815,-73.96986,Unknown,0,1,0
40.75362,-73.898445,BROOKLYN QUEENS EXPRESSWAY,0,1,0
40.741104,-73.85382,OTIS AVENUE,0,1,0
40.83584,-73.8364,BALCOM AVENUE,0,1,0
40.653572,-74.01227,2 AVE,0,1,0
40.614063,-74.01393,86 STREET,0,1,0
40.78911,-73.96656,CENTRAL PARK WEST,0,1,0
40.658997,-73.92186,Unknown,0,1,0
40.827927,-73.90094,HOME STREET,0,1,0
40.79525,-73.97321,WEST END AVENUE,0,4,0
40.827145,-73.858986,VIRGINIA AVENUE,0,1,0
40.64289,-74.11386,RICHMOND TERRACE,0,1,0
40.613075,-74.12257,VICTORY BOULEVARD,0,2,0
40.798306,-73.93683,2 AVENUE,0,1,0
0.0000000,0.0000000,EAST 241 STREET,0,1,0
40.75547,-73.9856,Unknown,0,1,0
40.87637,-73.84846,Unknown,0,1,0
40.62573,-73.9564,OCEAN AVENUE,0,3,0
40.573196,-73.99278,WEST 27 STREET,0,1,0
40.853523,-73.90273,GRAND CONCOURSE,0,1,0
40.638733,-73.95665,Unknown,0,1,0
40.71528,-73.97648,FDR DRIVE,0,1,0
40.818592,-73.86731,Unknown,0,1,0
40.7633,-73.90994,Unknown,0,1,0
40.671627,-73.96263,WASHINGTON AVENUE,0,1,0
40.580166,-73.95254,Unknown,0,2,0
40.676743,-73.93316,SCHENECTADY AVENUE,0,1,0
40.60122,-74.01014,SHORE PARKWAY,0,1,0
40.73677,-73.80475,65 AVENUE,0,1,0
40.83082,-73.87001,WESTCHESTER AVENUE,0,1,0
40.63826,-73.94243,Unknown,0,1,0
40.73856,-73.85524,OTIS AVENUE,0,1,0
40.644157,-73.976234,Unknown,0,1,0
40.64557,-74.08875,Unknown,0,1,0
40.620247,-74.14188,Unknown,0,1,0
0.0000000,0.0000000,ROCKAWAY BEACH BOULEVARD,0,1,0
40.617306,-73.92865,Unknown,0,1,0
40.744576,-73.996765,Unknown,0,1,0
