Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
188 STREET,,,15,0,0,1
180 STREET,,,15,0,0,1
YELLOWSTONE BOULEVARD,,,15,0,0,1
SKILLMAN AVENUE,,,15,0,0,1
68 STREET,,,15,0,0,1
EAST 14 STREET,,,15,0,0,1
41 STREET,,,15,0,0,1
WEST 170 STREET,,,15,0,0,1
61 STREET,,,15,0,0,1
HOOK CREEK BOULEVARD,,,15,0,0,1
EAST 187 STREET,,,15,0,0,1
MELROSE AVENUE,,,15,0,0,1
37 STREET,,,15,0,0,1
WEST END AVENUE,,,15,0,0,1
64 STREET,,,15,0,0,1
102 STREET,,,15,0,0,1
147 STREET,,,15,0,0,1
76 STREET,,,15,0,0,1
GERARD AVENUE,,,15,0,0,1
MOTT AVENUE,,,15,0,0,1
COZINE AVENUE,,,15,0,0,1
HART STREET,,,15,0,0,1
BLEECKER STREET,,,15,0,0,1
57 AVENUE,,,15,0,0,1
RYER AVENUE,,,15,0,0,1
81 STREET,,,15,0,0,1
EAST 176 STREET,,,14,0,0,1
COLUMBIA STREET,,,14,0,0,1
HARRISON AVENUE,,,14,0,0,1
42 STREET,,,14,0,0,1
EAST 106 STREET,,,14,0,0,1
47 AVENUE,,,14,0,0,1
WILLIAMSBURG STREET WEST,,,14,0,0,1
WEST 35 STREET,,,14,0,0,1
114 STREET,,,14,0,0,1
WEST KINGSBRIDGE ROAD,,,14,0,0,1
83 STREET,,,14,0,0,1
103 AVENUE,,,14,0,0,1
COURT STREET,,,14,0,0,1
AVENUE Y,,,14,0,0,1
126 STREET,,,14,0,0,1
SEAVIEW AVENUE,,,14,0,0,1
CONDUIT BOULEVARD,,,14,0,0,1
WEST 40 STREET,,,14,0,0,1
BRONX RIVER AVENUE,,,14,0,0,1
WEST 23 STREET,,,14,0,0,1
115 AVENUE,,,14,0,0,1
ESSEX STREET,,,14,0,0,1
EAST 241 STREET,,,14,0,0,1
MADISON STREET,,,14,0,0,1
MURDOCK AVENUE,,,14,0,0,1
RIDGEWOOD AVENUE,,,14,0,0,1
RANDALL AVENUE,,,14,0,0,1
65 PLACE,,,14,0,0,1
CHRYSTIE STREET,,,14,0,0,1
146 STREET,,,14,0,0,1
EAST 12 STREET,,,14,0,0,1
BAY RIDGE PARKWAY,,,14,0,0,1
WOODWARD AVENUE,,,14,0,0,1
51 STREET,,,14,0,0,1
EAST 53 STREET,,,14,0,0,1
