Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
SHELL ROAD,40.585232,-73.974953,7,0.07,0.1,0,3
MELROSE STREET,40.698903,-73.934395,4,0.07,0.1,0,2
177 STREET,40.709697,-73.784108,7,0.04,0.1,0,5
BRIGHTON 2 STREET,40.575542,-73.96487,3,0.1,0.1,0,1
RICHMOND ROAD,40.585638,-74.112067,36,0.04,0.1,0,31
WEST 139 STREET,40.818325,-73.94296,11,0.06,0.1,0,6
EAST 164 STREET,40.827981,-73.915587,8,0.04,0.1,0,6
WOODBINE STREET,40.697904,-73.910065,5,0.05,0.1,0,3
28 STREET,40.767482,-73.922771,6,0.05,0.1,0,4
EAST 144 STREET,40.812271,-73.916858,18,0.06,0.1,0,10
WALLABOUT STREET,40.700188,-73.955903,7,0.04,0.1,0,5
WEST 46 STREET,40.759184,-73.986503,7,0.06,0.1,0,4
EAST 184 STREET,40.858086,-73.896737,23,0.06,0.1,0,12
HANCOCK PLACE,40.810681,-73.95402,4,0.07,0.1,0,2
LIBERTY STREET,40.710014,-74.01247,4,0.07,0.1,0,2
CHAMBERS STREET,40.71519,-74.008537,9,0.07,0.1,0,4
WEST 204 STREET,40.864276,-73.921149,10,0.05,0.1,0,6
WEIRFIELD STREET,40.69247,-73.909968,10,0.05,0.1,0,6
NATIONAL STREET,40.747535,-73.863523,6,0.06,0.1,0,3
WEST 30 STREET,40.725108,-73.996278,12,0.05,0.1,0,7
ELDERTS LANE,40.679982,-73.865411,11,0.05,0.1,0,7
WORTMAN AVENUE,40.658608,-73.881013,17,0.04,0.1,0,12
55 ROAD,40.726624,-73.906456,3,0.1,0.1,0,1
EAST 60 STREET,40.761293,-73.964033,8,0.05,0.1,0,5
EAST 170 STREET,40.837388,-73.909458,18,0.05,0.1,0,11
12 STREET,40.765569,-73.935957,9,0.04,0.1,0,7
MOFFAT STREET,40.686969,-73.906975,6,0.06,0.1,0,3
WALKER STREET,34.851455,-63.512699,10,0.04,0.1,0,7
62 STREET,40.67211,-73.953741,17,0.04,0.1,0,14
NORTH 3 STREET,40.716779,-73.962068,6,0.06,0.1,0,3
MORRIS PARK AVENUE,40.845513,-73.862585,20,0.04,0.1,0,15
SPENCER STREET,40.692059,-73.954683,5,0.08,0.1,0,2
FURMAN AVENUE,40.9,-73.851956,6,0.1,0.1,0,2
85 ROAD,40.696554,-73.851358,4,0.07,0.1,0,2
CLARKSON AVENUE,40.657396,-73.929224,19,0.04,0.1,0,15
127 STREET,40.723118,-73.825056,10,0.04,0.1,0,8
SAINT MARYS STREET,40.80897,-73.911127,5,0.08,0.1,0,2
RODNEY STREET,40.71057,-73.955022,12,0.06,0.1,0,6
WEST 65 STREET,40.772968,-73.982043,4,0.07,0.1,0,2
NEW YORK AVENUE,40.653466,-73.946437,35,0.04,0.1,0,24
EAST 36 STREET,40.728853,-73.972264,12,0.05,0.1,0,7
118 AVENUE,40.692155,-73.738813,12,0.04,0.1,0,9
STORY AVENUE,40.82279,-73.869324,13,0.05,0.1,0,8
WEST 152 STREET,40.828837,-73.942475,7,0.04,0.1,0,5
EAST 134 STREET,40.806201,-73.923888,10,0.06,0.1,0,5
150 STREET,40.727547,-73.808768,41,0.04,0.1,0,30
EAST 236 STREET,40.897358,-73.861401,7,0.06,0.1,0,4
DAHLGREN PLACE,40.616047,-74.025734,3,0.1,0.1,0,1
EAST 126 STREET,40.804982,-73.936783,8,0.06,0.1,0,4
11 AVENUE,39.283985,-71.340104,34,0.04,0.1,0,28
BALTIC STREET,40.686154,-73.99502,6,0.06,0.1,0,3
AVENUE L,40.625378,-73.931247,25,0.04,0.1,0,19
EAST 72 STREET,40.769347,-73.959671,9,0.05,0.1,0,6
WEST 183 STREET,40.858199,-73.912202,10,0.05,0.1,0,6
EAST 38 STREET,40.708794,-73.964409,9,0.05,0.1,0,6
PROSPECT AVENUE,40.772875,-73.931166,24,0.04,0.1,0,20
BORDEN AVENUE,40.735427,-73.930599,27,0.05,0.1,0,18
BARNES AVENUE,40.877377,-73.859097,11,0.04,0.1,0,9
CARLTON AVENUE,40.685502,-73.972041,6,0.05,0.1,0,4
HAMPTON STREET,40.744965,-73.87833,3,0.1,0.1,0,1
116 AVENUE,40.687189,-73.778121,26,0.03,0.1,0,23
MOUNT HOPE PLACE,40.84908,-73.90946,3,0.1,0.1,0,1
AVENUE M,40.626114,-73.925383,37,0.04,0.1,0,30
HAVEMEYER AVENUE,40.829228,-73.847262,5,0.05,0.1,0,3
VANWYCK EXPRESSWAY,40.696251,-73.813597,25,0.04,0.1,0,19
WEST 55 STREET,40.765728,-73.984567,8,0.05,0.1,0,5
EAST 183 STREET,40.854996,-73.893487,14,0.04,0.1,0,10
EAST 168 STREET,40.833209,-73.911463,14,0.06,0.1,0,8
WEST 97 STREET,40.794485,-73.969262,11,0.05,0.1,0,7
103 AVENUE,40.68504,-73.835285,14,0.04,0.1,0,11
NEW DORP LANE,40.572748,-74.114037,5,0.05,0.1,0,3
35 STREET,40.760713,-73.919745,9,0.05,0.1,0,6
WILLIAMS AVENUE,40.664402,-73.89782,10,0.05,0.1,0,6
RIVERDALE AVENUE,40.712027,-73.902068,17,0.04,0.1,0,14
CASTLE HILL AVENUE,40.828689,-73.850296,17,0.05,0.1,0,11
EDGECOMBE AVENUE,40.828839,-73.940847,10,0.05,0.1,0,6
WEST 126 STREET,40.811499,-73.95008,9,0.07,0.1,0,4
EAST 169 STREET,40.833623,-73.908553,20,0.05,0.1,0,13
70 STREET,40.692814,-73.938611,10,0.04,0.1,0,7
7 STREET,40.666957,-73.978208,4,0.07,0.1,0,2
SUTPHIN BOULEVARD,40.68987,-73.798797,34,0.04,0.1,0,25
CLAREMONT PARKWAY,40.838147,-73.901188,8,0.05,0.1,0,5
30 STREET,40.7297,-73.949723,9,0.04,0.1,0,7
NORTH GANNON AVENUE,40.608614,-74.141591,8,0.05,0.1,0,5
UNION HALL STREET,40.695823,-73.7919,5,0.05,0.1,0,3
WALWORTH STREET,40.694576,-73.954269,7,0.06,0.1,0,4
105 STREET,40.702691,-73.8439,8,0.06,0.1,0,4
57 AVENUE,36.665015,-66.466286,15,0.05,0.1,0,10
BELL BOULEVARD,40.762775,-73.770276,18,0.04,0.1,0,14
WHIPPLE STREET,40.70109,-73.94502,3,0.1,0.1,0,1
80 STREET,39.136069,-71.059126,32,0.04,0.1,0,26
WEST MOUNT EDEN AVENUE,40.844565,-73.91531,4,0.07,0.1,0,2
SLOSSON AVENUE,40.612753,-74.116937,8,0.04,0.1,0,6
EAST 48 STREET,40.735889,-73.965142,10,0.05,0.1,0,6
EAST 140 STREET,40.808721,-73.917182,10,0.04,0.1,0,7
EAST 103 STREET,40.706751,-73.916378,11,0.05,0.1,0,7
