Latitude,Longitude,Street,Incident_Count,Injured,Killed,Congestion_Index,Last_Incident_Date
40.725857,-73.83737,GRAND CENTRAL PARKWAY,3,0,0,0.63,2026-04-11T00:00:00.000
40.60915,-74.14987,STATEN ISLAND EXPRESSWAY,3,0,0,0.63,2026-04-03T00:00:00.000
40.864464,-73.918945,W 207 ST,3,0,0,0.63,2026-03-26T00:00:00.000
40.582977,-73.98042,BELT PARKWAY,3,0,0,0.63,2026-04-12T00:00:00.000
40.744892,-73.77022,LONG ISLAND EXPRESSWAY,3,0,0,0.63,2026-04-12T00:00:00.000
40.61998,-74.02368,86 ST,3,0,0,0.63,2026-04-14T00:00:00.000
40.63082,-73.88635,ROCKAWAY PKWY,3,0,0,0.63,2026-04-04T00:00:00.000
40.75815,-73.777664,CLEARVIEW EXPRESSWAY,3,0,0,0.63,2026-04-07T00:00:00.000
40.828094,-73.81795,THROGS NECK EXPY,3,0,0,0.63,2026-04-01T00:00:00.000
40.68039,-73.949554,FULTON ST,3,0,0,0.63,2026-04-02T00:00:00.000
40.640236,-73.905975,REMSEN AVE,3,0,0,0.63,2026-04-13T00:00:00.000
40.663643,-73.89083,RIVERDALE AVE,2,0,0,0.42,2026-04-02T00:00:00.000
40.6544,-73.92043,LINDEN BLVD,2,0,0,0.42,2026-04-02T00:00:00.000
40.768574,-73.84244,Unknown,2,0,0,0.42,2026-04-12T00:00:00.000
40.801743,-73.96476,AMSTERDAM AVE,2,0,0,0.42,2026-04-06T00:00:00.000
40.673996,-73.73507,MERRICK BLVD,2,0,0,0.42,2026-03-29T00:00:00.000
40.61009,-74.11667,SLOSSON AVE,2,0,0,0.42,2026-04-10T00:00:00.000
40.86177,-73.83227,Unknown,2,0,0,0.42,2026-04-11T00:00:00.000
40.74544,-73.975395,E 35 ST,2,0,0,0.42,2026-04-13T00:00:00.000
40.70001,-73.83089,JAMAICA AVE,2,0,0,0.42,2026-04-04T00:00:00.000
40.674934,-73.80186,VAN WYCK EXPWY,2,0,0,0.42,2026-04-10T00:00:00.000
40.672974,-73.967445,EASTERN PKWY,2,0,0,0.42,2026-04-13T00:00:00.000
40.644814,-73.97464,CHURCH AVENUE,2,0,0,0.42,2026-04-02T00:00:00.000
40.84812,-73.930885,W 181 ST,2,0,0,0.42,2026-03-24T00:00:00.000
40.647606,-73.9155,DITMAS AVE,2,0,0,0.42,2026-03-30T00:00:00.000
40.80897,-73.948326,W 125 ST,2,0,0,0.42,2026-03-30T00:00:00.000
40.715553,-73.825905,UNION TURNPIKE,2,0,0,0.42,2026-04-10T00:00:00.000
40.86131,-73.921234,W 202 ST,2,0,0,0.42,2026-04-06T00:00:00.000
40.88643,-73.895805,MAJOR DEEGAN EXPRESSWAY,2,0,0,0.42,2026-04-14T00:00:00.000
40.700665,-73.98774,PEARL ST,2,0,0,0.42,2026-04-06T00:00:00.000
40.755516,-73.961105,FDR DRIVE,2,0,0,0.42,2026-04-05T00:00:00.000
40.781693,-73.8257,20 AVENUE,2,0,0,0.42,2026-03-25T00:00:00.000
40.692493,-73.817055,130 ST,2,0,0,0.42,2026-04-13T00:00:00.000
40.66612,-73.82224,LEFFERTS BLVD,2,0,0,0.42,2026-04-05T00:00:00.000
40.67801,-73.941376,ATLANTIC AVE,2,0,0,0.42,2026-04-07T00:00:00.000
40.77737,-73.94336,Unknown,2,0,0,0.42,2026-04-12T00:00:00.000
40.640884,-73.949486,AVENUE D,2,0,0,0.42,2026-04-12T00:00:00.000
40.855385,-73.9181,MAJOR DEEGAN EXPRESSWAY,2,0,0,0.42,2026-04-03T00:00:00.000
40.74233,-73.83764,VAN WYCK EXPWY,2,0,0,0.42,2026-04-11T00:00:00.000
40.875122,-73.905174,MAJOR DEEGAN EXPRESSWAY,2,0,0,0.42,2026-04-05T00:00:00.000
40.69218,-73.882484,JACKIE ROBINSON PKWY,2,0,0,0.42,2026-03-27T00:00:00.000
40.60782,-74.001945,18 AVE,2,0,0,0.42,2026-04-01T00:00:00.000
40.668507,-73.925606,EASTERN PKWY,2,0,0,0.42,2026-04-11T00:00:00.000
40.82752,-73.84776,BRUCKNER EXPRESSWAY,2,0,0,0.42,2026-04-04T00:00:00.000
40.848763,-73.84271,Unknown,2,0,0,0.42,2026-04-13T00:00:00.000
40.701077,-73.94042,SUMNER PL,2,0,0,0.42,2026-03-30T00:00:00.000
40.69325,-73.97286,MYRTLE AVE,2,0,0,0.42,2026-04-08T00:00:00.000
40.68039,-73.949554,NOSTRAND AVE,2,0,0,0.42,2026-04-08T00:00:00.000
40.80673,-73.87168,Unknown,2,0,0,0.42,2026-04-07T00:00:00.000
40.748108,-73.94736,44 DR,2,0,0,0.42,2026-04-07T00:00:00.000
40.65266,-73.86971,Unknown,2,0,0,0.42,2026-04-10T00:00:00.000
