Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.674934,-73.801860,VAN WYCK EXPWY,0,2,0
40.764507,-73.985794,Unknown,0,1,0
40.748470,-73.992460,W 30 ST,0,1,0
40.637680,-73.883720,E 105 ST,0,1,0
40.587635,-74.091120,HYLAN BLVD,0,1,0
40.813580,-73.908820,Unknown,0,1,0
40.729774,-73.986810,2 AVE,0,1,0
40.646520,-73.958110,FLATBUSH AVE,0,1,0
40.599316,-73.972910,MCDONALD AVE,0,1,0
40.578210,-74.117010,RICHMOND RD,0,1,0
40.879307,-73.854170,Unknown,0,1,0
40.618656,-74.021830,Unknown,0,1,0
40.619164,-74.075800,Unknown,0,1,0
40.889490,-73.909744,HENRY HUDSON PARKWAY,0,1,0
40.714104,-73.953220,BROOKLYN QUEENS EXPRESSWAY,0,2,0
40.654984,-74.007110,GOWANUS EXPY (BQE),0,1,0
40.652317,-73.921234,Unknown,0,1,0
40.839745,-73.904740,Unknown,0,1,0
40.732025,-73.877210,Unknown,0,1,0
40.844340,-73.892040,CROTONA AVE,0,1,0
40.695847,-73.965880,BROOKLYN QUEENS EXPRESSWAY,0,1,0
40.772700,-73.833954,LINDEN PL,0,1,0
40.700640,-73.936460,BUSHWICK AVE,0,1,0
40.811577,-73.924970,Unknown,0,1,0
40.666187,-73.791760,BELT PARKWAY,0,1,0
40.807774,-73.945480,W 125 ST,0,1,0
40.882553,-73.903740,Unknown,0,1,0
40.603070,-74.016670,BELT PARKWAY,0,1,0
40.851765,-73.941900,PLAZA LAFAYETTE,0,1,0
40.589207,-73.804470,BEACH 77 ST,0,1,0
40.869213,-73.870290,Unknown,0,1,0
40.677834,-73.885086,ATLANTIC AVE,0,1,0
40.592857,-73.775300,EDGEMERE AVE,0,1,0
40.872997,-73.865974,Unknown,0,1,0
40.850860,-73.907646,MORRIS AVE,0,1,0
40.644863,-74.017470,3 AVE,0,1,0
40.584810,-73.983000,STILLWELL AVE,0,1,0
40.559670,-74.168270,Unknown,0,1,0
40.879320,-73.869804,BRONX RIVER PARKWAY,0,1,0
40.696217,-73.743590,SPRINGFIELD BLVD,0,1,0
40.853810,-73.855280,NEILL AVE,0,1,0
40.652470,-73.945090,Unknown,0,1,0
40.565327,-74.125710,S RAILROAD AVE,0,1,0
40.832314,-73.861540,Unknown,0,1,0
40.731613,-73.954490,MANHATTAN AVE,0,1,0
40.824030,-73.944756,ST NICHOLAS AVE,0,1,0
40.705658,-73.903860,Unknown,0,1,0
40.673320,-73.876630,Unknown,0,1,0
