Link_ID,Record_ID,Street_Segment_Name,Borough,Owner,Transcom_ID,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Code,Segment_Status_Label,Speed_Category,Point_Count,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Mid_Latitude,Mid_Longitude,Link_Points
4616325,2,11th ave s ganservoort - west st @ spring st,Manhattan,NYC_DOT_LIC,4616325,21.13,156.0,2017-05-05T10:21:49.000,0,Normal,Moderate traffic,6,40.739330,-74.010040,40.726190,-74.011131,40.734600,-74.010260,"40.739330,-74.010040 40.738950,-74.010120 40.737600,-74.010021 40.734600,-74.010260 40.729120,-74.010781 40.726190,-74.011131"
4616338,4,12th Ave N 40th - 57th St,Manhattan,NYC_DOT_LIC,4616338,9.94,300.0,2017-05-05T10:21:49.000,0,Normal,Severe congestion,8,40.760700,-74.002141,40.771511,-73.994200,40.769300,-73.994801,"40.760700,-74.002141 40.763350,-73.999271 40.764910,-73.998050 40.766741,-73.996681 40.769300,-73.994801 40.769961,-73.994521 40.771010,-73.994380 40.771511,-73.994200"
4616323,106,12th Ave S 57th St - 45th St,Manhattan,NYC_DOT_LIC,4616323,13.05,171.0,2017-05-05T10:21:49.000,0,Normal,Heavy congestion,13,40.771580,-73.994441,40.765470,-73.997900,40.769541,-73.994960,"40.771580,-73.994441 40.771300,-73.994550 40.770850,-73.994670 40.769970,-73.994810 40.770160,-73.994770 40.769860,-73.994831 40.769541,-73.994960 40.769341,-73.995080 40.768311,-73.995800 40.768311,-73.995800 40.766230,-73.997330 40.766230,-73.997330 40.765470,-73.997900"
4616324,3,12th ave @ 45th - 11 ave ganservoort st,Manhattan,NYC_DOT_LIC,4616324,8.7,677.0,2017-05-05T10:21:49.000,0,Normal,Severe congestion,13,40.763750,-73.999191,40.741140,-74.000000,40.755760,-74.006010,"40.763750,-73.999191 40.763521,-73.999350 40.762080,-74.001360 40.759850,-74.003060 40.757750,-74.004570 40.757750,-74.004570 40.755760,-74.006010 40.754490,-74.006921 40.753840,-74.007241 40.754150,-74.007120 40.750280,-74.008480 40.748330,-74.007771 40.741140,-74.000000"
4456502,119,BBT E Manhattan Portal - Toll Plaza,Manhattan,MTA Bridges & Tunnels,4456502,3.73,1070.0,2017-05-05T09:57:54.000,0,Normal,Severe congestion,13,40.706310,-74.015010,40.679800,-74.004160,40.700260,-74.015410,"40.706310,-74.015010 40.705380,-74.015280 40.704960,-74.015460 40.703740,-74.015740 40.703040,-74.015820 40.701260,-74.015740 40.700260,-74.015410 40.694080,-74.013040 40.685560,-74.007790 40.683630,-74.006680 40.682130,-74.006020 40.681160,-74.005320 40.679800,-74.004160"
4616344,122,BBT Manhattan Portal inbound - West St N Watts St,Manhattan,NYC_DOT_LIC,4616344,13.05,422.0,2015-12-08T15:24:35.000,0,Normal,Heavy congestion,12,40.707390,-74.015590,40.713981,-74.013551,40.711130,-74.014491,"40.707390,-74.015590 40.707801,-74.015490 40.708530,-74.015220 40.709101,-74.014991 40.709790,-74.014721 40.710470,-74.014631 40.711130,-74.014491 40.712020,-74.014261 40.712951,-74.014010 40.713360,-74.013900 40.713640,-74.013781 40.713981,-74.013551"
4616345,123,BBT Manhattan Portal inbound - West St S Battery Place,Manhattan,NYC_DOT_LIC,4616345,27.96,100.0,2015-12-08T15:24:35.000,0,Normal,Moderate traffic,5,40.707380,-74.015580,40.704760,-74.016520,40.706371,-74.016040,"40.707380,-74.015580 40.706690,-74.015900 40.706371,-74.016040 40.705100,-74.016430 40.704760,-74.016520"
4456501,124,BBT W Toll Plaza - Manhattan Portal,Manhattan,MTA Bridges & Tunnels,4456501,34.18,190.0,2016-12-28T09:06:29.000,0,Normal,Moderate traffic,10,40.680360,-74.004410,40.706090,-74.014680,40.700280,-74.015290,"40.680360,-74.004410 40.682200,-74.005720 40.683700,-74.006440 40.685630,-74.007570 40.694120,-74.012880 40.700280,-74.015290 40.701210,-74.015600 40.703434,-74.015610 40.704990,-74.015190 40.706090,-74.014680"
4616342,145,BKN Bridge Manhattan Side - FDR N Catherine Slip,Manhattan,NYC_DOT_LIC,4616342,21.13,121.0,2017-05-05T10:21:51.000,0,Normal,Moderate traffic,6,40.708110,-73.999440,40.709140,-73.995940,40.708860,-73.997751,"40.708110,-73.999440 40.708470,-73.998840 40.708680,-73.998331 40.708860,-73.997751 40.709000,-73.997020 40.709140,-73.995940"
4616339,149,BQE N Atlantic Ave - BKN Bridge Manhattan Side,Manhattan,NYC_DOT_LIC,4616339,22.99,312.0,2017-05-05T10:21:49.000,0,Normal,Moderate traffic,12,40.691600,-73.999150,40.698871,-73.996721,40.694931,-73.998620,"40.691600,-73.999150 40.692360,-73.999390 40.692720,-73.999411 40.693280,-73.999290 40.694050,-73.999001 40.694461,-73.998831 40.694931,-73.998620 40.695430,-73.998360 40.695920,-73.998130 40.696750,-73.997720 40.697751,-73.997251 40.698871,-73.996721"
4616340,150,BQE N Atlantic Ave - MAN Bridge Manhattan Side,Manhattan,NYC_DOT_LIC,4616340,13.05,709.0,2017-05-05T10:21:49.000,0,Normal,Heavy congestion,9,40.701641,-73.991121,40.700290,-73.985211,40.701150,-73.987461,"40.701641,-73.991121 40.701580,-73.990330 40.701440,-73.989320 40.701230,-73.987970 40.701150,-73.987461 40.700940,-73.986521 40.700730,-73.985921 40.700550,-73.985581 40.700290,-73.985211"
4456450,213,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,Manhattan,MTA Bridges & Tunnels,4456450,29.2,82.0,2017-05-05T10:25:54.000,0,Normal,Moderate traffic,10,40.800690,-73.928780,40.800181,-73.930151,40.801140,-73.931261,"40.800690,-73.928780 40.801301,-73.930181 40.801410,-73.930570 40.801430,-73.930840 40.801330,-73.931060 40.801140,-73.931261 40.800840,-73.931271 40.800670,-73.931150 40.800521,-73.930951 40.800181,-73.930151"
