Link_ID,Street_Segment_Name,Borough,Sequence,Latitude,Longitude,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Label,Speed_Category
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,6,40.833520,-73.861130,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,7,40.833741,-73.862011,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,8,40.834150,-73.863330,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,9,40.834521,-73.864580,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,10,40.835041,-73.866311,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,1,40.846670,-73.931880,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,2,40.847331,-73.933501,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,3,40.848710,-73.936901,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,4,40.849350,-73.939880,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,5,40.849620,-73.941750,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,6,40.850120,-73.944620,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,7,40.851271,-73.950370,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,8,40.851720,-73.952830,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,9,40.852100,-73.955150,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,10,40.852950,-73.959570,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,11,40.853290,-73.960610,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,12,40.853520,-73.961420,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620315,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,13,40.853621,-73.961920,1.86,3183.0,2017-05-05T10:26:49.000,Normal,Severe congestion
4620332,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),Bronx,1,40.846710,-73.931941,14.91,284.0,2017-05-05T10:26:50.000,Normal,Heavy congestion
4620332,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),Bronx,2,40.846031,-73.930181,14.91,284.0,2017-05-05T10:26:50.000,Normal,Heavy congestion
4620332,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),Bronx,3,40.845390,-73.927530,14.91,284.0,2017-05-05T10:26:50.000,Normal,Heavy congestion
4620332,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),Bronx,4,40.845600,-73.925891,14.91,284.0,2017-05-05T10:26:50.000,Normal,Heavy congestion
4620332,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),Bronx,5,40.844860,-73.924710,14.91,284.0,2017-05-05T10:26:50.000,Normal,Heavy congestion
4620332,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),Bronx,6,40.844880,-73.923270,14.91,284.0,2017-05-05T10:26:50.000,Normal,Heavy congestion
