Borough,Street_Segment_Name,Segment_Count,Average_Speed_MPH,Minimum_Speed_MPH,Maximum_Speed_MPH,Average_Travel_Time_Seconds,Latest_Data_As_Of,Representative_Latitude,Representative_Longitude,Most_Recent_Speed_Category
Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE,1,1.86,1.86,1.86,1448.0,2017-05-05T10:26:51.000,40.626076,-74.1464,Severe congestion
Staten Island,ROUTE 169 S - MLK WALKER STREET,1,3.11,3.11,3.11,1002.0,2017-05-05T10:21:49.000,40.65319,-74.131006,Severe congestion
Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD,1,37.9,37.9,37.9,150.0,2017-01-07T19:08:40.000,40.609953,-74.116109,Free flow
Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD,1,37.9,37.9,37.9,131.0,2017-01-07T19:08:40.000,40.607611,-74.084997,Free flow
Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE,1,37.9,37.9,37.9,92.0,2017-01-07T19:08:40.000,40.609033,-74.147613,Free flow
Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE,1,37.9,37.9,37.9,66.0,2017-01-07T19:08:40.000,40.618064,-74.162956,Free flow
Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL,1,21.13,21.13,21.13,61.0,2017-05-05T10:25:54.000,40.602447,-74.058927,Moderate traffic
Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL,1,27.96,27.96,27.96,46.0,2017-05-05T10:25:54.000,40.602427,-74.059129,Moderate traffic
Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE,1,37.9,37.9,37.9,38.0,2017-01-07T19:08:40.000,40.60781,-74.13651,Free flow
Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET,1,49.71,49.71,49.71,172.0,2016-11-01T19:12:29.000,40.625579,-68.981076,Free flow
Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET,1,11.81,11.81,11.81,589.0,2016-11-01T22:43:29.000,40.613463,-74.15203,Heavy congestion
Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE,1,57.17,57.17,57.17,116.0,2016-10-31T11:15:35.000,40.615796,-74.172095,Free flow
Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE,1,37.28,37.28,37.28,33.0,2017-05-05T10:26:51.000,40.60802,-74.136505,Free flow
Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD,1,37.28,37.28,37.28,130.0,2017-05-05T10:26:51.000,40.60809,-74.080576,Free flow
Staten Island,SIE W RICHMOND AVENUE - SOUTH AVENUE,1,1.86,1.86,1.86,628.0,2017-05-05T10:26:51.000,40.619384,-74.164935,Severe congestion
Staten Island,SIE W SOUTH AVENUE - 278 W BRUNSWICK AVENUE,1,11.18,11.18,11.18,1003.0,2014-12-03T10:03:36.000,40.625514,-74.178273,Heavy congestion
Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE,1,37.28,37.28,37.28,73.0,2017-05-05T10:26:51.000,40.609694,-74.148517,Free flow
Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD,1,47.85,47.85,47.85,56.0,2017-05-05T10:26:51.000,40.602836,-74.059007,Free flow
Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD,1,6.84,6.84,6.84,1023.0,2017-05-05T10:26:51.000,40.573416,-74.191708,Severe congestion
Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE,1,6.84,6.84,6.84,682.0,2017-05-05T10:26:51.000,40.556087,-74.208611,Severe congestion
Staten Island,WSE N SOUTH AVENUE - 278 W BRUNSWICK AVENUE,1,6.21,6.21,6.21,2227.0,2014-12-03T09:54:36.000,40.621897,-74.176198,Severe congestion
Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD,1,6.84,6.84,6.84,1054.0,2017-05-05T10:26:51.000,40.536165,-74.224091,Severe congestion
Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE,1,6.84,6.84,6.84,403.0,2017-05-05T10:26:51.000,40.595544,-74.191317,Severe congestion
Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE,1,37.9,37.9,37.9,142.0,2017-01-07T19:08:40.000,40.615292,-74.176805,Free flow
Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD,1,57.17,57.17,57.17,82.0,2016-10-31T11:15:35.000,40.555756,-74.192877,Free flow
Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE,1,57.17,57.17,57.17,115.0,2016-10-31T11:15:35.000,40.533127,-74.225573,Free flow
Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD,1,57.17,57.17,57.17,54.0,2016-10-31T11:15:35.000,40.596756,-74.191085,Free flow
Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET,1,37.9,37.9,37.9,191.0,2017-05-05T09:28:48.000,40.525049,-74.255484,Free flow
Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE,1,57.17,57.17,57.17,136.0,2016-10-31T11:15:35.000,40.573737,-74.191982,Free flow
Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD,1,37.28,37.28,37.28,83.0,2017-05-05T10:26:51.000,40.60281,-74.054573,Free flow
